num_stocks,max_stock_weight,top3_concentration,total_weight_drift,portfolio_return,portfolio_volatility,sector_concentration,days_since_last_rebalance,market_return_30d,market_volatility_30d,market_drawdown_90d,market_trend,rebalancing_label
22,0.064209,0.180531,0.14091,0.027165,0.020785,0.180317,137,0.036567,0.012346,-0.045222,1,1
4,0.365339,0.873429,0.263387,0.042772,6.3e-05,1.0,120,0.058716,0.007944,-0.036889,1,0
6,0.338653,0.709871,0.527683,-0.056925,0.007422,1.0,227,0.027352,0.005685,-0.018899,1,1
43,0.031323,0.086967,0.095957,0.062044,0.017701,0.202339,130,0.084276,0.010819,-0.012355,1,0
34,0.035754,0.099819,0.058286,0.06039,0.002542,0.167067,64,0.032606,0.005401,-0.007215,1,1
13,0.106185,0.287183,0.170947,-0.100986,0.009614,0.260947,157,0.004887,0.006575,-0.031167,1,1
4,0.49575,0.902482,0.491499,-0.081533,0.000677,1.0,139,0.020477,0.013518,-0.065627,0,1
8,0.169156,0.491775,0.245012,0.041234,0.00157,0.330295,127,0.010418,0.005506,-0.020431,0,0
4,0.521667,0.894894,0.543333,0.013468,0.000784,0.521667,45,0.059466,0.008134,-0.009592,1,1
4,0.584571,0.956097,0.669141,0.040419,0.00044,0.584571,106,0.032017,0.004469,-0.013747,1,1
13,0.10114,0.273053,0.121096,0.09435,0.014816,0.187481,160,0.001894,0.00719,-0.006742,1,1
8,0.209596,0.539254,0.328507,0.066002,0.003206,1.0,190,0.01928,0.005298,-0.015731,1,0
17,0.078517,0.223703,0.126593,-0.027601,0.002974,0.185049,94,0.019193,0.004916,-0.022658,1,0
6,0.822516,0.962598,1.311699,0.05636,0.000507,0.822516,95,0.046797,0.005858,-0.013395,1,1
6,0.608771,0.876152,0.884209,-0.190001,0.005418,0.608771,158,-0.070241,0.015785,-0.096984,0,0
15,0.106884,0.272138,0.186546,-0.023171,0.00335,0.2101,36,-0.030893,0.008215,-0.048227,1,0
6,0.456179,0.80534,0.637095,0.174797,0.015959,0.456179,176,0.061856,0.008986,-0.007318,1,1
8,0.212409,0.492455,0.252186,-0.031383,0.001031,0.245817,17,-0.083749,0.009009,-0.093092,0,0
7,0.355449,0.707176,0.55721,0.053078,0.013453,0.355449,134,0.019124,0.008659,-0.05904,0,0
10,0.131288,0.359995,0.123512,-0.016951,0.005817,0.291591,141,0.013431,0.007382,-0.080028,0,1
